QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0101210000'	  	 - - pure-bred breeding animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0101291000'	  	 - - - for slaughter	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0101299000'	  	 - - - other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0101300000'	  	 - asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0101900000'	  	 - other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0102211000'	  	 - - - heifers (female bovines that have never calved)	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0102213000'	  	 - - - cows	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0102219000'	  	 - - - other	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0102290500'	  	 - - - of the sub-genus Bibos or of the sub-genus Poephagus	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0102291000'	  	 - - - - of a weight not exceeding 80 kg	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0102292100'	  	 - - - - - for slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0102292900'	  	 - - - - - other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0102294100'	  	 - - - - - for slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0102294900'	  	 - - - - - other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0102295100'	  	 - - - - - - for slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Russian Federation	'643'	2021	1	'0102295900'	  	 - - - - - - other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
