COUNTRY;YEAR;IMPORTS;NOMENCLATURE;DATA_CONSULTA
Saudi Arabia, Kingdom of;2022;No;HS 2022;2024-07-06
Senegal;2023;No;HS 2022;2024-07-06
Serbia;2010;Yes;HS 2007;2024-07-06
Seychelles;2023;No;HS 2022;2024-07-06
Sierra Leone;2023;No;HS 2022;2024-07-06
Singapore;2023;No;HS 2022;2024-07-06
Slovak Republic;2003;No;HS 2002;2024-07-06
Slovenia;2003;No;HS 2002;2024-07-06
Solomon Islands;2016 Rev.1  ;No;HS 2012;2024-07-06
South Africa;2024;No;HS 2022;2024-07-06
Sri Lanka;2017 Rev.2  ;Yes;HS 2012;2024-07-06
Suriname;2024;No;HS 2007;2024-07-06
Switzerland;2023;No;HS 2022;2024-07-06
Tajikistan;2019;No;HS 2012;2024-07-06
Tanzania;2023 Rev.1  ;No;HS 2022;2024-07-06
Thailand;2023 Rev.2  ;No;HS 2022;2024-07-06
The Gambia;2023;No;HS 2022;2024-07-14
Togo;2023;No;HS 2022;2024-07-06
Tonga;2024;No;HS 2017;2024-07-06
Trinidad and Tobago;2023;No;HS 2012;2024-07-06
Tunisia;2016 Rev.1  ;Yes;HS 2012;2024-07-06
Türkiye;2023;No;HS 2022;2024-07-06
Uganda;2023 Rev.1  ;No;HS 2022;2024-07-06
Ukraine;2024;No;HS 2022;2024-07-06
United Arab Emirates;2020 Rev.1  ;Yes;HS 2017;2024-07-06
United Kingdom;2023 Rev.1  ;No;HS 2022;2024-07-06
United States of America;2023;No;HS 2022;2024-07-06
Uruguay;2023;No;HS 2022;2024-07-06
Vanuatu;2020;No;HS 2017;2024-07-06
Venezuela, Bolivarian Republic of;2016;No;HS 2012;2024-07-06
Viet Nam;2023;No;HS 2022;2024-07-06
Yemen;2016;No;HS 2012;2024-07-06
Zambia;2016;No;HS 2012;2024-07-06
Zimbabwe;2021;No;HS 2017;2024-07-06
